"","x"
"1","JAG1"
"2","ASCL1"
"3","ATOH1"
"4","BMP4"
"5","CDC42"
"6","CTNNB1"
"7","FOXG1"
"8","GATA2"
"9","GATA3"
"10","GATA6"
"11","HOXA2"
"12","HES1"
"13","IFRD1"
"14","ISL1"
"15","MCL1"
"16","MEF2C"
"17","MYOD1"
"18","NKX2-2"
"19","NOTCH2"
"20","NOTCH4"
"21","NTF4"
"22","PAX2"
"23","PAX6"
"24","PRRX1"
"25","PROX1"
"26","PTCH1"
"27","TBX2"
"28","TNXB"
"29","WNT1"
"30","WNT7A"
"31","PTCH2"
"32","KLF4"
"33","LBX1"
"34","POU6F2"
"35","DLL1"
"36","FEZF2"
"37","MESP1"
"38","CYP26B1"
"39","DSCAML1"
"40","SOX17"
"41","EBF2"
"42","TRIM15"
"43","NKX6-3"
"44","BARHL2"
