"","x"
"1","Atoh1"
"2","Bmp4"
"3","Ctnnb1"
"4","Cdc42"
"5","Dll3"
"6","Ebf2"
"7","Gata2"
"8","Gata3"
"9","Gata6"
"10","Hand1"
"11","Hes1"
"12","Foxg1"
"13","Hoxa2"
"14","Isl1"
"15","Jag2"
"16","Lbx1"
"17","Ascl1"
"18","Mef2c"
"19","Mesp1"
"20","Myod1"
"21","Nkx2-2"
"22","Notch2"
"23","Ntf3"
"24","Otx2"
"25","Pax2"
"26","Pax6"
"27","Prrx1"
"28","Prox1"
"29","Ptch1"
"30","Ptch2"
"31","Smarca4"
"32","Sox17"
"33","Tbx2"
"34","Wnt1"
"35","Wnt7a"
"36","Fezf2"
"37","Nkx6-3"
"38","Ntf5"
"39","Chrdl1"
"40","Barhl2"
"41","Cyp26b1"
