"","x"
"1","ACVR1"
"2","ACVR2A"
"3","ACVR2B"
"4","APLNR"
"5","NR0B1"
"6","APOA1"
"7","BMP4"
"8","BMP7"
"9","BMPR1A"
"10","BMPR2"
"11","COL4A2"
"12","COL5A1"
"13","COL5A2"
"14","COL6A1"
"15","COL7A1"
"16","COL8A1"
"17","COL11A1"
"18","COL12A1"
"19","CTNNB1"
"20","DAG1"
"21","DLD"
"22","DUSP1"
"23","DUSP2"
"24","DUSP4"
"25","DUSP5"
"26","DVL1"
"27","DVL2"
"28","MEGF8"
"29","EPHA2"
"30","ETS2"
"31","ETV2"
"32","EXT1"
"33","EXT2"
"34","EYA1"
"35","EYA2"
"36","FGF8"
"37","FGFR2"
"38","FOXF1"
"39","FOXC1"
"40","FOXC2"
"41","FN1"
"42","GATA6"
"43","GJA1"
"44","GPC3"
"45","GPI"
"46","GRB2"
"47","FOXA2"
"48","HNF4A"
"49","TLX2"
"50","HOXA11"
"51","IL1RN"
"52","IL10"
"53","INHBA"
"54","ITGA2"
"55","ITGA3"
"56","ITGA4"
"57","ITGA5"
"58","ITGA7"
"59","ITGAV"
"60","ITGB1"
"61","ITGB2"
"62","ITGB3"
"63","ITGB4"
"64","ITGB5"
"65","LAMA3"
"66","LAMB1"
"67","LAMB3"
"68","LHX1"
"69","LRP5"
"70","SMAD1"
"71","SMAD2"
"72","SMAD3"
"73","SMAD4"
"74","MBP"
"75","MMP2"
"76","MMP8"
"77","MMP9"
"78","MMP14"
"79","MMP15"
"80","NF2"
"81","NODAL"
"82","OTX2"
"83","PAX2"
"84","POU5F1"
"85","PRKACA"
"86","PRKAR1A"
"87","MAPK7"
"88","MAP2K1"
"89","MAP2K5"
"90","RNF2"
"91","RPS6"
"92","SFRP1"
"93","SFRP2"
"94","SNAI1"
"95","SOX2"
"96","SRF"
"97","TBXT"
"98","TAF10"
"99","TAL1"
"100","TBX6"
"101","HNF1B"
"102","TGFBR2"
"103","TP53"
"104","HIRA"
"105","TXNRD1"
"106","UGDH"
"107","VTN"
"108","WNT3"
"109","WNT5A"
"110","WNT8B"
"111","WNT11"
"112","ZIC3"
"113","ZBTB17"
"114","NR4A3"
"115","HMGA2"
"116","MKKS"
"117","AXIN1"
"118","EOMES"
"119","FZD7"
"120","CUL3"
"121","ITGA8"
"122","PLPP3"
"123","LDB1"
"124","APLN"
"125","TBX19"
"126","NOG"
"127","KLF4"
"128","CER1"
"129","ADIPOQ"
"130","HAND1"
"131","MACROH2A1"
"132","GDF3"
"133","CTR9"
"134","ARFRP1"
"135","RACK1"
"136","SIX2"
"137","FRS2"
"138","DKK1"
"139","CLASP2"
"140","KDM6B"
"141","RTF1"
"142","PHLDB1"
"143","TASOR"
"144","POFUT2"
"145","CLASP1"
"146","SYF2"
"147","TENM4"
"148","NPHP3"
"149","AHDC1"
"150","SETD2"
"151","LEF1"
"152","NAT8B"
"153","PAF1"
"154","SUPT20H"
"155","KIF16B"
"156","LMBRD1"
"157","MESP1"
"158","CFC1"
"159","POGLUT1"
"160","TWSG1"
"161","TBX20"
"162","EPB41L5"
"163","EXOC4"
"164","TGIF2"
"165","RIC8A"
"166","SOX17"
"167","WNK1"
"168","CDC73"
"169","ARMC5"
"170","NANOG"
"171","WLS"
"172","WNT5B"
"173","SOX7"
"174","MIXL1"
"175","ATOH8"
"176","LBX2"
"177","WNT3A"
"178","TRIM15"
"179","PHLDB2"
"180","MYADM"
"181","LEO1"
"182","OSR1"
"183","PRICKLE1"
"184","GSC"
"185","MESP2"
"186","AMOT"
"187","CRB2"
"188","MSGN1"
"189","MIR1-1"
"190","MIR145"
"191","MIR150"
"192","MIR200C"
"193","MIR221"
"194","SCX"
"195","CFC1B"
"196","APELA"
