"","x"
"1","Macf1"
"2","Adipoq"
"3","Acvr1"
"4","Acvr2a"
"5","Acvr2b"
"6","Nr0b1"
"7","Apoa1"
"8","Axin1"
"9","Bmp4"
"10","Bmp7"
"11","Bmpr1a"
"12","Bmpr2"
"13","Ctnnb1"
"14","Cer1"
"15","Cfc1"
"16","Chrd"
"17","Col12a1"
"18","Col5a1"
"19","Col5a2"
"20","Dag1"
"21","Dkk1"
"22","Dld"
"23","Dusp2"
"24","Dvl1"
"25","Dvl2"
"26","Lefty1"
"27","Elf5"
"28","Eomes"
"29","Epha2"
"30","Etv2"
"31","Ext1"
"32","Ext2"
"33","Eya1"
"34","Fgf8"
"35","Fgfr1"
"36","Foxc2"
"37","Fn1"
"38","Fzd7"
"39","Gata4"
"40","Gata6"
"41","Gdf3"
"42","Rack1"
"43","Gpi1"
"44","Grb2"
"45","Hand1"
"46","Htt"
"47","Foxf1"
"48","Hhex"
"49","Hira"
"50","Hmga2"
"51","Foxa2"
"52","Hnf4a"
"53","Hoxa11"
"54","Il10"
"55","Il1rn"
"56","Inhba"
"57","Itga5"
"58","Itgav"
"59","Kif16b"
"60","Klf4"
"61","Ldb1"
"62","Lef1"
"63","Lhx1"
"64","Lrp5"
"65","Lrp6"
"66","Smad1"
"67","Smad2"
"68","Smad3"
"69","Smad4"
"70","Mbp"
"71","Mesp1"
"72","Mesp2"
"73","Foxc1"
"74","Nf2"
"75","Nodal"
"76","Nog"
"77","Nr4a3"
"78","Nsd1"
"79","Otx2"
"80","Pax2"
"81","Prkaca"
"82","Pou5f1"
"83","Prkar1a"
"84","Dusp1"
"85","Rnf2"
"86","Rps6"
"87","Scx"
"88","Sfrp2"
"89","Exoc4"
"90","Sfrp1"
"91","Six2"
"92","Snai1"
"93","Sox17"
"94","Sox2"
"95","Sox7"
"96","Srf"
"97","T"
"98","Tal1"
"99","Tbx6"
"100","Hnf1a"
"101","Hnf1b"
"102","Tcf3"
"103","Tdgf1"
"104","Tgfbr2"
"105","Tgif1"
"106","Tlx2"
"107","Tnfaip3"
"108","Trp53"
"109","Ctr9"
"110","Ugdh"
"111","Kdm6a"
"112","Vtn"
"113","Wnt11"
"114","Wnt3"
"115","Wnt3a"
"116","Wnt5a"
"117","Zbtb17"
"118","Zic3"
"119","Aplnr"
"120","Ets2"
"121","Map2k5"
"122","Mapk7"
"123","Tenm4"
"124","Osr1"
"125","Taf10"
"126","Map2k1"
"127","Cul3"
"128","Macroh2a1"
"129","Ecsit"
"130","Mixl1"
"131","Amot"
"132","Apln"
"133","Txnrd1"
"134","Nckap1"
"135","Myadm"
"136","Paf1"
"137","Msgn1"
"138","Supt20"
"139","Dact1"
"140","Twsg1"
"141","Nat8f1"
"142","Plpp3"
"143","Wls"
"144","Hsbp1"
"145","Nat8"
"146","Lmbrd1"
"147","Syf2"
"148","Nat8f5"
"149","Atoh8"
"150","Nanog"
"151","Nphp3"
"152","Rtf1"
"153","Clasp2"
"154","Arfrp1"
"155","Clasp1"
"156","Pofut2"
"157","Tbx19"
"158","Nat8f2"
"159","Nat8f3"
"160","Arid1a"
"161","Vangl2"
"162","Ric8a"
"163","Phldb1"
"164","Prickle1"
"165","Osr2"
"166","Phldb2"
"167","Cdc73"
"168","Kdm6b"
"169","Tnrc6c"
"170","Tasor"
"171","Poglut1"
"172","Epb41l5"
"173","Tgif2"
"174","Ahdc1"
"175","Wnk1"
"176","Armc5"
"177","Leo1"
"178","Setd2"
"179","Dusp5"
"180","Crb2"
"181","Zfp568"
"182","Megf8"
"183","Dusp4"
"184","Frs2"
"185","Apela"
