"","x"
"1","NR0B1"
"2","BMP4"
"3","BMPR1A"
"4","ZFP36L1"
"5","COL4A2"
"6","COL5A1"
"7","COL5A2"
"8","COL6A1"
"9","COL7A1"
"10","COL8A1"
"11","COL11A1"
"12","COL12A1"
"13","CTNNB1"
"14","DUSP1"
"15","DUSP2"
"16","DUSP4"
"17","DUSP5"
"18","EXT1"
"19","BPTF"
"20","FGF8"
"21","FN1"
"22","GATA4"
"23","GATA6"
"24","GRB2"
"25","HDAC1"
"26","ONECUT1"
"27","HOXC11"
"28","INHBA"
"29","ITGA4"
"30","ITGA5"
"31","ITGA7"
"32","ITGAV"
"33","ITGB2"
"34","ITGB5"
"35","LAMA3"
"36","LAMB1"
"37","LAMB3"
"38","LAMC1"
"39","LHX1"
"40","SMAD2"
"41","SMAD3"
"42","SMAD4"
"43","MMP2"
"44","MMP8"
"45","MMP9"
"46","MMP14"
"47","MMP15"
"48","NODAL"
"49","NOTCH1"
"50","PAX9"
"51","POU5F1"
"52","MAP2K1"
"53","SOX2"
"54","HNF1B"
"55","NKX2-1"
"56","VTN"
"57","HMGA2"
"58","EOMES"
"59","LDB1"
"60","NOG"
"61","MACROH2A1"
"62","GDF3"
"63","CTR9"
"64","MED12"
"65","DKK1"
"66","RTF1"
"67","ARC"
"68","SSBP3"
"69","TNRC6A"
"70","SETD2"
"71","PELO"
"72","PAF1"
"73","KIF16B"
"74","MESP1"
"75","TBX20"
"76","EPB41L5"
"77","SOX17"
"78","CDC73"
"79","NANOG"
"80","SOX7"
"81","MIXL1"
"82","LEO1"
"83","APELA"
