"","x"
"1","Angpt1"
"2","Angpt2"
"3","Angpt4"
"4","Nr0b1"
"5","Arc"
"6","Bmp4"
"7","Bmpr1a"
"8","Zfp36l1"
"9","Ctnnb1"
"10","Cfc1"
"11","Col12a1"
"12","Col5a1"
"13","Col5a2"
"14","Dkk1"
"15","Dusp2"
"16","Eomes"
"17","Ext1"
"18","Fgf8"
"19","Fn1"
"20","Gata4"
"21","Gata6"
"22","Gdf1"
"23","Gdf3"
"24","Grb2"
"25","Hhex"
"26","Hmga2"
"27","Foxa2"
"28","Onecut1"
"29","Inhba"
"30","Itga5"
"31","Itgav"
"32","Kif16b"
"33","Lhx1"
"34","Smad2"
"35","Smad3"
"36","Smad4"
"37","Mesp1"
"38","Nkx2-5"
"39","Nodal"
"40","Nog"
"41","Notch1"
"42","Otx2"
"43","Pax9"
"44","Pou5f1"
"45","Pthlh"
"46","Dusp1"
"47","Sox17"
"48","Sox2"
"49","Sox7"
"50","Wnt8a"
"51","Hnf1b"
"52","Tgfb1"
"53","Nkx2-1"
"54","Ctr9"
"55","Vtn"
"56","Map2k1"
"57","Macroh2a1"
"58","Mixl1"
"59","Nckap1"
"60","Paf1"
"61","Med12"
"62","Hsbp1"
"63","Nanog"
"64","Ssbp3"
"65","Rtf1"
"66","Ankrd17"
"67","Pelo"
"68","Bptf"
"69","Cdc73"
"70","Tnrc6c"
"71","Epb41l5"
"72","Tnrc6a"
"73","Leo1"
"74","Setd2"
"75","Dusp5"
"76","Dusp4"
"77","Hdac1"
