"","x"
"1","ACVR1"
"2","JAG1"
"3","APC"
"4","AR"
"5","RHOA"
"6","ASCL1"
"7","ATOH1"
"8","BCL2"
"9","PRDM1"
"10","BMP2"
"11","BMP4"
"12","BMPR1A"
"13","BRAF"
"14","CASP3"
"15","RUNX2"
"16","CDC42"
"17","CHD3"
"18","CHD4"
"19","NKX2-5"
"20","CTNNB1"
"21","CTSL"
"22","DLX1"
"23","DLX2"
"24","EDN1"
"25","EDNRA"
"26","EPAS1"
"27","ERBB4"
"28","ETS2"
"29","ETV2"
"30","EXT1"
"31","EYA1"
"32","EYA2"
"33","FGF2"
"34","FGF8"
"35","FGF10"
"36","FGF13"
"37","FGFR2"
"38","FOXG1"
"39","FOXC2"
"40","MTOR"
"41","GAP43"
"42","GAS1"
"43","GATA1"
"44","GATA2"
"45","GATA3"
"46","GATA4"
"47","GATA6"
"48","GBX1"
"49","GLI2"
"50","GLI3"
"51","HDAC1"
"52","HDAC2"
"53","MNX1"
"54","FOXA1"
"55","FOXA2"
"56","ONECUT1"
"57","HOXA2"
"58","HOXA11"
"59","HOXA13"
"60","HOXC10"
"61","HOXD10"
"62","HES1"
"63","ID2"
"64","IFRD1"
"65","RBPJ"
"66","IHH"
"67","IL6"
"68","IL6R"
"69","IL7"
"70","IL12B"
"71","IL12RB1"
"72","IRF4"
"73","ISL1"
"74","ITGB1"
"75","JAG2"
"76","KDR"
"77","LY9"
"78","SMAD1"
"79","SMAD2"
"80","SMAD4"
"81","SMAD5"
"82","MCL1"
"83","MEF2C"
"84","MITF"
"85","MYF5"
"86","MYF6"
"87","MYL2"
"88","MYOD1"
"89","MYOG"
"90","NEUROD1"
"91","NEUROG1"
"92","NKX2-2"
"93","NODAL"
"94","NOTCH1"
"95","NOTCH2"
"96","NOTCH3"
"97","NOTCH4"
"98","NTF4"
"99","NTRK3"
"100","PAX2"
"101","PAX6"
"102","PITX1"
"103","PML"
"104","PRRX1"
"105","POU3F2"
"106","POU4F1"
"107","POU5F1"
"108","PPARG"
"109","PRKDC"
"110","PROX1"
"111","PSEN1"
"112","PTCH1"
"113","RAG2"
"114","RARA"
"115","RBBP4"
"116","RBBP7"
"117","SFRP1"
"118","SFRP2"
"119","SHH"
"120","SIX1"
"121","SMO"
"122","SOX1"
"123","SOX2"
"124","SOX5"
"125","SOX9"
"126","SPN"
"127","STAT3"
"128","STAT6"
"129","TBXT"
"130","TAL1"
"131","TBX1"
"132","TBX2"
"133","TBX5"
"134","TBX6"
"135","TBX15"
"136","TBX3"
"137","HNF1B"
"138","TCF3"
"139","TCF7L2"
"140","TEAD4"
"141","TEAD3"
"142","NR2F2"
"143","TGFB1I1"
"144","TGFBR1"
"145","NKX2-1"
"146","NR2E1"
"147","TNXB"
"148","TP53"
"149","WNT1"
"150","WNT2"
"151","WNT3"
"152","WNT5A"
"153","WNT6"
"154","WNT7A"
"155","WNT7B"
"156","WNT8A"
"157","WNT8B"
"158","WNT10B"
"159","WNT11"
"160","WNT2B"
"161","WNT9A"
"162","WNT9B"
"163","WT1"
"164","LHX3"
"165","EOMES"
"166","FZD7"
"167","FOXN1"
"168","GCM1"
"169","LMO4"
"170","PTCH2"
"171","NRP1"
"172","TNFSF18"
"173","TBX19"
"174","TBX18"
"175","MTA1"
"176","LATS1"
"177","ARHGEF2"
"178","MTA2"
"179","KLF4"
"180","ONECUT2"
"181","TBX4"
"182","GDF3"
"183","SOX13"
"184","CTR9"
"185","TOX"
"186","OLIG2"
"187","SPRY2"
"188","APC2"
"189","BATF"
"190","PDPN"
"191","LBX1"
"192","TBR1"
"193","SIX2"
"194","RAB10"
"195","EHMT2"
"196","PRDM4"
"197","POU6F2"
"198","DKK1"
"199","MYT1L"
"200","KDM6B"
"201","RTF1"
"202","MGA"
"203","HEY2"
"204","FKBP8"
"205","SPDEF"
"206","ZNF521"
"207","SOSTDC1"
"208","TENM4"
"209","LATS2"
"210","DLL1"
"211","TBX21"
"212","TLX3"
"213","SOX8"
"214","DHH"
"215","CDON"
"216","FOXP3"
"217","TBX22"
"218","WNT16"
"219","IL23A"
"220","SUFU"
"221","MBD3"
"222","SOX18"
"223","WNT4"
"224","DLL4"
"225","PAF1"
"226","FEV"
"227","GATAD2A"
"228","ESRP1"
"229","FEZF2"
"230","SOX6"
"231","MESP1"
"232","CYP26B1"
"233","SLAMF8"
"234","TBX20"
"235","DSCAML1"
"236","GATAD2B"
"237","MTA3"
"238","NEUROD4"
"239","DMRT3"
"240","DMRTA2"
"241","PRDM14"
"242","SOX17"
"243","EBF2"
"244","ISL2"
"245","BCL11B"
"246","CDC73"
"247","NANOG"
"248","TM2D3"
"249","WNT10A"
"250","WNT5B"
"251","NKX6-2"
"252","LOXL3"
"253","DOCK7"
"254","WNT3A"
"255","TRIM15"
"256","SLAMF6"
"257","OLIG1"
"258","DBX1"
"259","FOXN4"
"260","LEO1"
"261","GATA5"
"262","GSC"
"263","IL23R"
"264","GDF7"
"265","NKX6-3"
"266","ZFPM1"
"267","OLIG3"
"268","ARX"
"269","GSX2"
"270","GSX1"
"271","PTF1A"
"272","BARHL2"
"273","TBX10"
"274","HES5"
"275","MIR1-1"
"276","MIR133A1"
"277","MIR19B1"
"278","MIR206"
"279","MIR208A"
"280","MIAT"
"281","EPOP"
