"Pax6" "Mash1" "Zic1" "Brn2" "Tuj1" "Hes5" "Scl" "Olig2" "Stat3" "Aldh1L" "Myt1L" "Sox8"
"cell_1" 6 0 0 0 0 0 0 0 0 0 0 0
"cell_2" 6.00567031503492 0.0398162124999654 -0.00531264012716428 -0.00162797037323077 -0.00639524789747187 0.0276008011002494 0.0082583988578109 0.0042181357793604 -0.0139948700564452 -0.00233148843401972 -0.0111381142063547 0.0165045606856642
"cell_3" 6.00387253219022 0.0802965263242621 -0.0257013455584458 -0.00650676324438013 -0.00591554782165219 0.0669513036273613 0.00421639926468689 0.00235053426607197 -0.00680930585857174 -0.00990855576686235 -0.00698550224140649 0.031717546101509
"cell_4" 6.00715745492831 0.105188268111365 -0.0207344423394138 -0.0231615463031785 0.000614202026916223 0.101170046950249 0.0139338866133487 0.0131089656820881 -0.00642248037447354 -0.00735133328071089 -0.00439535198882668 0.012290412502577
"cell_5" 5.99607374244857 0.138514522860089 -0.0275767914632037 -0.0297337528340983 0.000587709331890967 0.144205434422362 0.0392461780509655 0.0171918303131829 0.00737039881932017 -0.0115742675318857 0.0052120764376201 0.0309350429462815
"cell_6" 5.98706804172653 0.161168348002467 -0.0269171360700268 -0.0323456238207616 -0.00786119814991141 0.178477273371395 0.0220302727049036 0.0395275093779108 0.00695793726192095 -0.00831612701923295 0.00487854225946181 0.0298452186219913
"cell_7" 5.9880866277181 0.203184464256859 -0.0431581225062761 -0.0450960667231106 -6.27095454689978e-05 0.214595267910372 0.0264656893318897 0.0314407261301347 0.00770638518772032 0.0020151633445656 0.0160190957249748 0.0421811186413734
"cell_8" 5.99952187569825 0.236706690839601 -0.0533876680373653 -0.0452631411279277 -0.00288762559151008 0.264355390278254 0.0217454127512421 0.016839889063297 0.00673756121631414 0.00845060140268992 0.0197480857865293 0.0322492164175532
"cell_9" 6.00724333619035 0.272213430792148 -0.0399205016570667 -0.0260798025718966 -0.0122789175355356 0.310292252795165 0.0202760592497509 0.0164542632088021 -0.00190485192151299 0.0219990946915494 0.0294129366379544 0.0259147030549943
"cell_10" 5.98996230936177 0.31500055631594 -0.041608693949889 -0.00782497002052332 -0.00966912347515398 0.339958433090411 0.0115947386084498 0.0123177960310059 -0.00473905204524817 0.0418654438828476 0.0254395730753348 0.0185178972276505
"cell_11" 5.98833646054934 0.339313046528428 -0.0344191267525819 -0.00433945314757612 -0.00693867197802344 0.363415023852697 -9.3239890081435e-05 0.0107605552732132 0.00427919525780551 0.0544320876445834 0.0106790950709331 0.0151498547140405
"cell_12" 5.983662605212 0.364050996391911 -0.0379905831544967 0.004781846615184 -0.00672548520982963 0.396164431458019 -0.00318505874621981 0.0142839238157603 0.0132383069096891 0.0604538176463804 0.000255508933936498 0.0119693616909469
"cell_13" 5.96703727818627 0.394733029603583 -0.0191341644687723 0.00234302194555768 -0.0264207027003318 0.443143899976048 0.00579519746613341 0.0118801202589129 0.0113869551303554 0.0473073400143449 -0.00891823863657874 0.0149690156968498
"cell_14" 5.9805494216459 0.418085361383765 -0.017248567910246 0.00510176100865526 -0.0344757247791478 0.475041070347614 0.0161546908634444 -0.000488137923026233 0.0213314717766749 0.0426703643185583 -6.52682822486699e-05 0.00442896567927785
"cell_15" 5.98759978277113 0.459972302023934 -0.0282377520535903 -0.00489370397171291 -0.0422851415703808 0.517374731040525 0.024174307932484 -0.0197484355507424 0.0305035264472526 0.0494071912896073 0.00363222888263425 0.0121939008667849
"cell_16" 5.98196271365643 0.490831079549772 -0.0241397953453434 -0.0111454062607998 -0.0406165812707234 0.551707935842335 0.0222383533157399 -0.0185412045325953 0.037987402226453 0.0591515788216848 0.00734596158762669 0.00467796273686927
"cell_17" 5.98071926002475 0.527433890093691 0.00694046338459046 -0.00421783263810535 -0.0315789794694719 0.576006934879395 0.0250076132803954 -0.00917650831839636 0.0359786900927879 0.0491322878731014 0.00772125295499212 0.00130676735395325
"cell_18" 5.97988029569665 0.560667172870721 0.0172365253387383 0.0100091394743284 -0.0286958555590522 0.62980320297109 0.0235645122230085 -0.00891446488146505 0.0391723717738953 0.0537393629095311 0.00721458818633045 0.00285217210616463
"cell_19" 5.98204961680748 0.624368020445574 0.016691043438078 0.0219208215897261 -0.0314416786040244 0.658900702468485 0.0137124312510172 -0.00729421347454028 0.0319078021376505 0.0598601953118347 0.000769619978588902 -0.0052143975092908
"cell_20" 5.99653000715907 0.662140729112939 0.0120242941487491 0.00336924928590352 -0.0322086339014251 0.71520560800251 0.0140460513245161 0.00750452214871903 0.0182104024963317 0.0725327992743543 -0.00518285267531223 0.00870725891775893
"cell_21" 5.98556810482443 0.707250152337852 0.0227269015480523 0.00334934687410866 -0.0291850564663939 0.74257669973799 0.0327281432699395 0.0574487418870654 0.0140472746453701 0.0871337148330924 -0.0101444527929949 0.000653604134331132
"cell_22" 5.98104917874104 0.726531554019907 0.0238339612699521 -0.00362301986259449 -0.0277506205122241 0.787341745722554 0.0449202470867657 0.0603189278753088 -0.00220007492542969 0.0867047393168279 0.00283179314277447 0.0172924651306811
"cell_23" 5.97317847491823 0.753253273278108 0.0413111615392135 -0.00163392883183899 -0.0216639574556881 0.814254389411605 0.0488567172222285 0.0889439477122799 0.000918907798477512 0.0885131886377471 -0.0142292643360326 0.0111734416021021
"cell_24" 5.97006007906105 0.77900756794471 0.0486749789385307 -0.0200906966083563 -0.0105734895600093 0.860160615074677 0.0681790525828077 0.0880268811637313 -0.00111200300869189 0.0813686258772135 -0.00884012657330645 0.0307958178470954
"cell_25" 5.97014569288791 0.821457565525968 0.0601735239014497 -0.00977622357271803 -0.0172095296290394 0.889709662561792 0.0728064056844975 0.118749047971258 -0.00252635992818674 0.0954529115664737 -0.00263312485451015 0.0339245900377236
"cell_26" 5.96752687598083 0.855277892127762 0.0773473818168524 0.00205595931494011 0.00305932905957397 0.923378287486597 0.0891839060220823 0.121798011027095 0.00524919576413163 0.102646922276362 -0.00662005774129996 0.0460032116410749
"cell_27" 5.984855472799 0.878459169337371 0.0823572768573133 0.0121635588525047 0.0232864626532678 0.944376813589819 0.104922361572248 0.147088132808241 0.00786222309208946 0.094435195596093 -0.0184691509777161 0.0530555603849111
"cell_28" 5.96336311864084 0.9010079723366 0.108113699272367 0.0123863676757543 0.00387121242885676 0.980159655552681 0.133609137713102 0.166886317303847 0.00792205374016283 0.0843556526946737 -0.0220672053055532 0.050286526577601
"cell_29" 5.9568309020884 0.936130031596416 0.109323621354193 0.0191070736599037 0.0029259607979413 1.02908815720418 0.169676345700341 0.194686349078164 0.00950033406217979 0.0802096043451992 -0.0219325638493364 0.0244110433371669
