"Pax6" "Mash1" "Zic1" "Brn2" "Tuj1" "Hes5" "Scl" "Olig2" "Stat3" "Aldh1L" "Myt1L" "Sox8"
"cell_1" 6 0 0 0 0 0 0 0 0 0 0 0
"cell_2" 5.99970629214429 0.0389578761694833 0.00249512298635647 -0.00349761822137526 0.0114954105680396 0.0347154988673376 0.00588411901030673 -0.00142929327252542 0.00750973575667386 0.0153037943660296 0.00376862230053878 -0.0230012689499365
"cell_3" 5.98622850762394 0.0940150270632859 0.0158178745542379 0.00870593459783262 0.0179783057385276 0.0828932519357343 0.0265392010593103 -0.0126847663520335 -0.00855501545451116 0.0334571478505788 0.000329134359582114 -0.0288756945318101
"cell_4" 5.97622817260339 0.129213921886893 0.0280052935443047 0.00362547256356313 0.00952332303985506 0.107736459572318 0.0160035769447517 -0.0402549158232419 -0.00998598199144177 0.0321120888685427 0.00986283929399685 -0.0359744761052878
"cell_5" 5.97022665505986 0.161686976835488 0.0411848149560342 -0.00477707350501681 0.00579792015160102 0.157171036097111 0.0199934850841671 -0.0262795977834861 -0.0178899403430497 0.0259651158046352 0.00546937063956768 -0.0190266794091847
"cell_6" 5.97481856170257 0.196097438882858 0.0337686595475263 0.000967385310171776 0.00409655661358909 0.184742432467068 0.000227222252741249 -0.0153195011126064 -0.0123876842495364 0.0330829094415084 -0.0208654017740958 -0.0260865491340222
"cell_7" 5.97302483035592 0.232131162864629 0.019476454313529 -0.0017010689590872 -0.0189758276851963 0.217204506519505 -0.00365221067907013 -0.0295970826113355 -0.0169848570973455 0.0328455003014438 -0.0130816615448944 -0.0425549858669643
"cell_8" 5.9769581058093 0.271742966010192 0.0014419409966774 0.0112726093888334 -0.0211104683450918 0.248768945707777 0.0132010672194319 -0.0191453168906804 -0.0299274974345932 0.027246973670102 -0.00400981286452803 -0.0536220248546061
"cell_9" 5.98264006884921 0.314896971396011 0.00271109420834308 0.00417230086600158 0.012508644290677 0.297665917932197 0.0114450012517361 -0.0255079452223631 -0.0408573256000127 0.020164062003207 -0.00525932646735481 -0.0650043376070077
"cell_10" 5.99239554386123 0.35130134257387 -0.00536529079769493 -0.00564226747478737 0.0159685692933127 0.332180045232131 0.0278722829006345 -0.0337803223393224 -0.0402517331222496 0.01917737492846 0.00396045338431722 -0.0674299919765124
"cell_11" 6.00215397083603 0.383694584190964 -0.00690121787738688 0.0127851271327638 0.0252113763231243 0.387454288684839 0.0122478141359213 -0.0223117214664623 -0.0526795210983151 0.00180601879225597 0.00730934401364329 -0.0680840981199026
"cell_12" 5.99983682079272 0.432062429317673 -0.0111910106288389 0.00115718423621584 0.0266084516751677 0.429025751251448 0.0191529998369936 -0.0200020419495726 -0.0546753699635987 0.0073425169049572 0.00726107176186397 -0.0554188640962133
"cell_13" 5.9890364580753 0.454984669331806 -0.0126434229155564 -0.0126004133512548 0.0186425905109413 0.447710087972778 0.0262398524065097 -0.0283491646658272 -0.0704867878777006 0.0263690801367162 0.00625004544114368 -0.0545483578149754
"cell_14" 5.99536122149062 0.512845527397046 -0.0159611523630032 -0.0086734261232153 0.0221214631242734 0.481613138183023 0.031102910886518 -0.0135891756212572 -0.0534944536383483 0.0169313944751409 -0.0118490863623991 -0.0478309711261463
"cell_15" 5.9818100213128 0.547470822154538 -0.0216339780582491 -0.0230331306845624 0.0130802660148535 0.513656376317738 0.0314092170493748 -0.00692860174176603 -0.0494543613557938 0.00656077183512018 0.00232676976530372 -0.0420441426497135
"cell_16" 5.98468338666744 0.570214467025406 -0.0155263072451778 -0.0347906447473821 0.00167720866267004 0.554889714991789 0.0288583200284075 -0.00658165862091781 -0.0314860719002228 -0.000828250360719931 -0.00604732122426288 -0.0198337523240942
"cell_17" 5.99540764096756 0.587915123303132 -0.0056949059079025 -0.0346059728725435 0.00359403749238838 0.592907746388527 0.062147279564824 0.0132721645233858 -0.0150138199478885 -0.0133487789524221 0.00173018451972914 -0.0133822078722513
"cell_18" 5.99727174185188 0.629647405476578 -0.00265103447073102 -0.0375328177133871 0.00591212696159151 0.621368943522321 0.0711738816411665 0.025564817486309 -0.00814514728635129 -0.0239835246203305 0.0148181140878475 -0.0151239794469287
"cell_19" 6.0077607262435 0.660284486426522 -0.00610631601923621 -0.0436909166526948 -0.000846013468586941 0.650777450287602 0.0731520330649645 0.0433328950635431 0.0122263518526614 -0.0170980255625597 0.0355396626996684 -0.0164665599497127
"cell_20" 6.01214119727931 0.70814555185108 -0.0115368911501927 -0.0577703374481494 -0.0143274406419348 0.689267698067168 0.0912044319298705 0.0539905868500555 0.0027625938501215 -0.012123574814727 0.0388992022911407 -0.0124140457344887
