"Pax6" "Mash1" "Zic1" "Brn2" "Tuj1" "Hes5" "Scl" "Olig2" "Stat3" "Aldh1L" "Myt1L" "Sox8"
"cell_1" 6 0 0 0 0 0 0 0 0 0 0 0
"cell_2" 5.99246594433135 0.0467239663393981 0.00694925779540309 -0.00199520161529888 -0.00932722057808478 0.0468420596925415 -0.01752021618606 -0.00837826930891357 0.00386498475365121 -0.00655456193780856 0.00168754206309339 0.024851810422557
"cell_3" 5.99631795902613 0.0762150669272575 0.013300974791167 -0.00177360933165301 -0.0185804989470662 0.0857077202717239 -0.00716024157654896 -0.00947377346789936 0.0114315960348895 -0.0160792948195995 0.0238688726955654 0.0397693761613967
"cell_4" 6.00396481584963 0.105727736245863 -0.000327776571400802 -0.00887635345791369 -0.00823037917115366 0.120079706701104 -0.0082743422639827 -0.0190596377932219 0.0159560829633951 -0.003146528012567 0.0137188411770972 0.0393913321074421
"cell_5" 6.00371112294118 0.136634912381877 0.00646572727240499 -0.00829998021704946 -0.0284635579917609 0.165284803809454 -0.00159011482380448 -0.0297880576545988 -0.00957657533054384 -0.000787924720064783 0.00395503266434027 0.0482375086789424
"cell_6" 6.00072104772191 0.168934338456295 0.00428349357542343 0.000457453508508011 -0.0222759264266751 0.204809104604315 0.00196281001091386 -0.0412917465573373 -0.00463216800131241 0.0116832459370102 0.00615548208784129 0.0459344175614809
"cell_7" 6.00881904840412 0.21065548304046 0.0104980201497077 0.00597942024208954 -0.0245604318979012 0.240215336983969 -0.0076278354296492 -0.0534077060914898 -0.0079338535364818 0.00921297985529349 -0.00358306598627814 0.0321184806532901
"cell_8" 6.02951263152377 0.253486071190177 3.50322626394901e-05 3.48146679123988e-05 -0.0241072967642531 0.292063130986461 -0.00392318202689487 -0.0599405369156837 -0.0130539820458607 0.00977949667098106 -0.00562234361402394 0.0535526532343292
"cell_9" 6.02227768970511 0.282690757420291 -0.0142007922174654 -0.012674933172444 -0.026149431321337 0.332774595851104 -0.00632571819694131 -0.0668688431818339 -0.00515130389409246 -0.00649652843269307 -0.0258795748781205 0.0649472528152878
"cell_10" 6.01562539190865 0.326574152948978 0.00642012622738178 -0.0211542473325237 -0.0297937944243862 0.372782433574352 -0.0113180822206995 -0.0820239201567531 -0.0106263725699025 -0.0126281886863334 -0.0332688067940095 0.063912544165356
"cell_11" 6.01750297273097 0.366991096331877 -0.00569679341107707 -0.0374492897883629 -0.0266641826034209 0.396698653001133 -0.0167786075928407 -0.0944498221393208 0.0129404347785043 -0.00173883237658255 -0.0277502754548214 0.0530246416215114
"cell_12" 6.00782702081888 0.408105002272647 -0.0242185965193409 -0.0391781030177126 -0.0189205988260149 0.427153520338398 -0.00405780302281546 -0.0881832209755888 0.0183986468999597 0.000796979729078446 -0.013331129529659 0.0594296896640135
"cell_13" 6.00576049452678 0.43633466068432 -0.0280948378762239 -0.0365259858449722 -0.0244212153779367 0.469004410444028 0.00547722688876237 -0.0866914042887534 0.0190021615353901 -0.00633367632270341 -0.00610178157301926 0.0358316038276047
"cell_14" 6.02294547534708 0.475029033562838 -0.0104234455403232 -0.0387675912171073 -0.0330538132514846 0.510230045634713 0.00940419529256129 -0.0759055064026241 0.00179746356631828 -0.0135948138536062 -0.00262221342849364 0.0372935178455468
"cell_15" 6.04419789326846 0.524541335642194 -0.0279997144064803 -0.0668784868066065 -0.0284874984553076 0.555397633609032 0.00887324470611468 -0.0745968564031962 0.0136281259880609 -0.00135168011048074 0.0116640308520064 0.04308329615214
"cell_16" 6.0381021328209 0.562229690538714 -0.0067949882540169 -0.0605582981725822 -0.0336386764509458 0.582816673464133 0.00629113149563199 -0.0556737390769859 0.00586301030348444 0.0136031833555688 0.00365886068203714 0.0566475377964303
"cell_17" 6.04446482215864 0.593678373006479 0.00138253632449223 -0.0627020519089362 -0.0339051458518236 0.628669392801781 0.00565664815319391 -0.0457029705636766 0.00998305477591326 0.0108870679076934 -0.00399809567689677 0.0574019049625114
"cell_18" 6.03142534684342 0.624589267334169 0.0187535492262246 -0.0565331322202395 -0.029280967090588 0.679639770393362 0.00997929439761263 -0.039737797262825 -0.00555456559542154 0.0117131688896518 -0.00636650475022707 0.0661072632675342
"cell_19" 6.03160762536186 0.649531110930428 0.028896278450881 -0.0528404938000971 -0.0248282737299355 0.723424953709904 0.0266143644387123 -0.0296731160150183 -0.0171108833964403 0.0175975416459313 -0.0193576595865113 0.0657012473067741
"cell_20" 6.03568005616278 0.682550063689371 0.0496747165858333 -0.0477097314090076 -0.0232891175134268 0.756127584649162 0.0459047155658622 -0.0136607815457732 -0.0118506552039647 0.0149483991898706 0.00138136527185374 0.0701588059276221
"cell_21" 6.02917665465856 0.733646308497089 0.0570360506830561 -0.055270660740388 -0.0164143815314085 0.785673787333211 0.0434262082904226 -0.0113041075761097 -0.0236875468905328 0.00546311977379555 0.00749794134968076 0.0755218498695605
"cell_22" 6.02757541685136 0.788645217707522 0.0682324383131607 -0.0596513515340553 -0.0138197347599926 0.798286391358265 0.0711486328688949 0.00122996807204327 -0.0352600271380588 0.00616994421080087 0.0200074417167095 0.0650100050721107
"cell_23" 6.04014913406291 0.82208218417048 0.0835019451621297 -0.0567750312500804 -0.00108099179278279 0.819194949305423 0.071570513743323 0.0177842710302679 -0.0379652789882502 0.0201968514793732 0.017377529632234 0.061833539518355
"cell_24" 6.02469942502338 0.848958554030942 0.0925636154095459 -0.0627773512117677 -0.0135913747989343 0.827808753139034 0.0787417718782843 0.027319476639783 -0.0450292399669009 0.0195601489155438 0.0239212100179466 0.0482970392753148
"cell_25" 6.02042573182522 0.892368070875526 0.0850171134085383 -0.0654383033534034 -0.0227062931575736 0.84807045975239 0.0901105811734695 0.0381636394630245 -0.0517691982239016 0.0186703956760042 0.0338243541089266 0.0500681329390432
"cell_26" 6.02822419541005 0.918235147291426 0.0994755512278073 -0.068255368629751 -0.0296931338687354 0.889346220946881 0.110608580535973 0.0535169608432225 -0.0596207327860218 0.0276224917313044 0.0430400446381354 0.0405340412831829
"cell_27" 6.02026817965421 0.949730376403599 0.115562249490714 -0.0706066114741876 -0.0393831890567426 0.916442621824251 0.121192403932291 0.0860147154834565 -0.0641181467888434 0.0208051452345957 0.0448611056058955 0.035361636706366
"cell_28" 6.02504266484085 0.976074539863196 0.125020516779439 -0.0885115888551515 -0.0477564174842452 0.940861950124243 0.142412044025908 0.117465054064292 -0.0688757165027575 0.0179632209880163 0.0369941210201898 0.0415117337549325
"cell_29" 6.00898507930969 1.00355578400359 0.136151546905889 -0.0740421407198682 -0.0537160931022053 0.990372242253773 0.164353126755225 0.127320698498077 -0.0691151479418344 0.0117369070385812 0.0334805576030546 0.0526015213148496
"cell_30" 6.00543418481673 1.03731143443279 0.141119515281113 -0.0836232444457923 -0.0513064545896149 1.01531620036972 0.160634987456317 0.140273912826909 -0.0562143393154082 0.0118965544485209 0.0287806871361145 0.058813196452865
"cell_31" 6.0112438996817 1.05652036120202 0.150259278564106 -0.07204094710214 -0.0725914476681108 1.03621679243187 0.172422828162299 0.169620921572504 -0.0492706337704492 0.00709557453674505 0.0410444397504056 0.0555499274327037
"cell_32" 6.00867474903266 1.08813984349492 0.153523839407325 -0.0612239511806036 -0.0733781040687445 1.0760119709165 0.201997770324367 0.192383331597262 -0.0345948508274939 0.0258290108547733 0.0325470534064725 0.0627222024819502
"cell_33" 6.01012688102596 1.11939499104597 0.171302365490751 -0.0535905844159437 -0.0766375701568913 1.09496648540329 0.214321915529262 0.231413591224766 -0.0195869231778935 0.00953963445339374 0.0335241814873031 0.071050801194103
"cell_34" 6.00982790772061 1.16902293305183 0.186369648528918 -0.0653773728195828 -0.0530458232643148 1.14114740036216 0.251173657815888 0.241280972943722 -0.0130762630876706 0.0223725454687623 0.0445912391728744 0.0609156405512345
"cell_35" 6.01084571472631 1.18671857248247 0.196298265012626 -0.0800877143740908 -0.0496372747499394 1.15769906257637 0.265304325660364 0.252245590364115 -0.0169885108566841 0.0327492307093922 0.0365074049355267 0.0690925439417213
"cell_36" 5.9988985255389 1.18504969657647 0.224852816731852 -0.0651255165764799 -0.0508811893989806 1.18692504513505 0.28589569397419 0.286946017208558 -0.0177972019599414 0.0331745390396032 0.0324212966588861 0.0586028139889712
"cell_37" 5.98916612375559 1.22699000263326 0.239779424940129 -0.0577027610448371 -0.0461567009035277 1.206110417941 0.289741099398206 0.302536731942943 -0.0258887333002414 0.0272982315985564 0.0257124277283287 0.0713535560556407
"cell_38" 5.98770946428021 1.25864133984599 0.251754308520185 -0.0601493007583591 -0.0421485674998679 1.25260352128941 0.298467927332425 0.331472878359771 -0.0230396995348461 0.0115744433038541 0.0219187277059976 0.0591325233606696
"cell_39" 5.98568981945327 1.29631111951922 0.279197575337988 -0.0589181208605544 -0.0145574899725934 1.27051873332989 0.322041406682468 0.356926304609544 -0.0196687560469839 0.0064892326093282 0.0467578334648989 0.0471973696817276
"cell_40" 5.99145233833665 1.31315792701343 0.303845812264645 -0.0702254894560799 -0.0100695576464241 1.28109184801898 0.342162459690633 0.380600690604342 -0.0176927125666732 0.0076501372262094 0.0489307051744671 0.0438445625998669
"cell_41" 5.97455134368615 1.32361958083348 0.322069712687681 -0.0715136594944021 -0.00905876262207619 1.30670588776002 0.374892750644553 0.411442872102633 -0.0278846700598447 0.0123419200157417 0.0601483442088301 0.0393761509620158
